State,State Name,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,Footnote
AL,Alabama,2016,January,12 month-ending,Number of Deaths,50534,100,0.302766454,
AL,Alabama,2015,May,12 month-ending,Number of Deaths,50516,100,0.318710904,
AL,Alabama,2016,May,12 month-ending,Number of Deaths,50511,100,0.28310665,
AL,Alabama,2015,March,12 month-ending,Number of Deaths,50486,100,0.308996554,
AL,Alabama,2016,April,12 month-ending,Number of Deaths,50391,100,0.279811871,
AL,Alabama,2016,March,12 month-ending,Number of Deaths,50348,100,0.282037022,
AL,Alabama,2015,February,12 month-ending,Number of Deaths,50004,100,0.323974082,
AL,Alabama,2015,January,12 month-ending,Number of Deaths,49543,100,0.33708092,
FL,Florida,2017,March,12 month-ending,Number of Drug Overdose Deaths,5241,100,0.086620171,*Likely underreported due to incomplete data
US,United States,2017,January,12 month-ending,Number of Drug Overdose Deaths,65127,100,0.190448371,*Likely underreported due to incomplete data
FL,Florida,2017,February,12 month-ending,Number of Drug Overdose Deaths,5216,100,0.062280151,*Likely underreported due to incomplete data
US,United States,2016,January,12 month-ending,Number of Drug Overdose Deaths,52905,100,0.150482705,
FL,Florida,2016,December,12 month-ending,Number of Drug Overdose Deaths,4996,100,0.047008226,
PA,Pennsylvania,2017,March,12 month-ending,Number of Drug Overdose Deaths,4923,95.9,0.41596826,*Likely underreported due to incomplete data
PA,Pennsylvania,2017,February,12 month-ending,Number of Drug Overdose Deaths,4853,98.6,0.373397316,*Likely underreported due to incomplete data
US,United States,2016,December,12 month-ending,Number of Drug Overdose Deaths,64026,100,0.156472101,
CA,California,2015,October,12 month-ending,Number of Drug Overdose Deaths,4784,100,0.278952473,
FL,Florida,2016,November,12 month-ending,Number of Drug Overdose Deaths,4836,100,0.054703497,
CA,California,2015,December,12 month-ending,Number of Drug Overdose Deaths,4762,100,0.355918392,
US,United States,2015,January,12 month-ending,Number of Drug Overdose Deaths,47523,100,0.143178356,
CA,California,2015,September,12 month-ending,Number of Drug Overdose Deaths,4747,100,0.255868846,
CA,California,2015,November,12 month-ending,Number of Drug Overdose Deaths,4747,100,0.308336682,
AL,Alabama,2017,January,12 month-ending,Number of Drug Overdose Deaths,757,100,0.280730286,*Likely underreported due to incomplete data
CA,California,2015,August,12 month-ending,Number of Drug Overdose Deaths,4670,100,0.233950964,
US,United States,2015,December,12 month-ending,Number of Drug Overdose Deaths,52623,100,0.153226513,
CA,California,2015,July,12 month-ending,Number of Drug Overdose Deaths,4628,100,0.224339022,
AK,Alaska,2017,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0.091407678,*Likely underreported due to incomplete data
OH,Ohio,2017,March,12 month-ending,Number of Drug Overdose Deaths,4769,100,0.065752704,*Likely underreported due to incomplete data
CA,California,2015,April,12 month-ending,Number of Drug Overdose Deaths,4625,100,0.22267839,
CA,California,2015,February,12 month-ending,Number of Drug Overdose Deaths,4616,100,0.23087388,
CA,California,2015,March,12 month-ending,Number of Drug Overdose Deaths,4608,100,0.224616363,
CA,California,2015,May,12 month-ending,Number of Drug Overdose Deaths,4607,100,0.217444398,
CA,California,2015,June,12 month-ending,Number of Drug Overdose Deaths,4604,100,0.219747447,
CA,California,2016,January,12 month-ending,Number of Drug Overdose Deaths,4745,100,0.359812111,
CA,California,2016,June,12 month-ending,Number of Drug Overdose Deaths,4844,100,0.396990825,
AK,Alaska,2017,January,12 month-ending,Number of Deaths,4376,100,0.091407678,*Likely underreported due to incomplete data
AK,Alaska,2016,December,12 month-ending,Number of Deaths,4358,100,0.068838917,
AK,Alaska,2017,March,12 month-ending,Number of Deaths,4358,100,0.16062414,*Likely underreported due to incomplete data
AK,Alaska,2017,February,12 month-ending,Number of Deaths,4347,100,0.115021854,*Likely underreported due to incomplete data
AK,Alaska,2016,October,12 month-ending,Number of Deaths,4292,100,0.069897484,
AK,Alaska,2016,November,12 month-ending,Number of Deaths,4291,100,0.069913773,
AK,Alaska,2016,August,12 month-ending,Number of Deaths,4276,100,0.023386342,
AK,Alaska,2016,July,12 month-ending,Number of Deaths,4269,100,0,
AK,Alaska,2016,April,12 month-ending,Number of Deaths,4262,100,0,
AK,Alaska,2016,June,12 month-ending,Number of Deaths,4261,100,0,
AK,Alaska,2016,September,12 month-ending,Number of Deaths,4257,100,0.046981442,
AK,Alaska,2015,September,12 month-ending,Number of Deaths,4242,100,0,
AK,Alaska,2015,October,12 month-ending,Number of Deaths,4241,100,0,
AK,Alaska,2016,May,12 month-ending,Number of Deaths,4241,100,0,
AK,Alaska,2016,March,12 month-ending,Number of Deaths,4230,100,0,
AK,Alaska,2015,August,12 month-ending,Number of Deaths,4222,100,0,
AK,Alaska,2015,July,12 month-ending,Number of Deaths,4220,100,0,
AK,Alaska,2015,November,12 month-ending,Number of Deaths,4219,100,0,
AK,Alaska,2016,January,12 month-ending,Number of Deaths,4213,100,0,
AK,Alaska,2015,June,12 month-ending,Number of Deaths,4201,100,0,
AK,Alaska,2016,February,12 month-ending,Number of Deaths,4198,100,0,
AK,Alaska,2015,May,12 month-ending,Number of Deaths,4196,100,0,
AK,Alaska,2015,December,12 month-ending,Number of Deaths,4193,100,0,
AK,Alaska,2015,April,12 month-ending,Number of Deaths,4133,100,0,
AK,Alaska,2015,March,12 month-ending,Number of Deaths,4101,100,0,
AK,Alaska,2015,February,12 month-ending,Number of Deaths,4084,100,0,
AK,Alaska,2015,January,12 month-ending,Number of Deaths,4034,100,0,
CA,California,2016,July,12 month-ending,Number of Drug Overdose Deaths,4816,100,0.410161924,
CA,California,2016,May,12 month-ending,Number of Drug Overdose Deaths,4811,100,0.391883987,
CA,California,2016,April,12 month-ending,Number of Drug Overdose Deaths,4795,100,0.37768306,
OH,Ohio,2017,February,12 month-ending,Number of Drug Overdose Deaths,4700,100,0.047872165,*Likely underreported due to incomplete data
CA,California,2016,August,12 month-ending,Number of Drug Overdose Deaths,4791,100,0.420195353,
CA,California,2016,March,12 month-ending,Number of Drug Overdose Deaths,4768,100,0.371438627,
PA,Pennsylvania,2016,December,12 month-ending,Number of Drug Overdose Deaths,4650,100,0.290637172,
CA,California,2016,December,12 month-ending,Number of Drug Overdose Deaths,4755,100,0.363969317,
AZ,Arizona,2017,January,12 month-ending,Number of Drug Overdose Deaths,1405,100,0.685075149,*Likely underreported due to incomplete data
CA,California,2016,February,12 month-ending,Number of Drug Overdose Deaths,4745,100,0.363905768,
CA,California,2016,September,12 month-ending,Number of Drug Overdose Deaths,4716,100,0.419778433,
CA,California,2016,November,12 month-ending,Number of Drug Overdose Deaths,4709,100,0.392965498,
CA,California,2016,October,12 month-ending,Number of Drug Overdose Deaths,4659,100,0.417120196,
CA,California,2015,January,12 month-ending,Number of Drug Overdose Deaths,4603,100,0.238123059,
CA,California,2017,February,12 month-ending,Number of Drug Overdose Deaths,4641,100,0.464747522,*Likely underreported due to incomplete data
FL,Florida,2016,October,12 month-ending,Number of Drug Overdose Deaths,4579,100,0.054989406,
CA,California,2017,March,12 month-ending,Number of Drug Overdose Deaths,4573,100,0.537532864,*Likely underreported due to incomplete data
AR,Arkansas,2017,January,12 month-ending,Number of Drug Overdose Deaths,383,100,0.077150572,*Likely underreported due to incomplete data
PA,Pennsylvania,2016,November,12 month-ending,Number of Drug Overdose Deaths,4359,100,0.300698881,
OH,Ohio,2016,December,12 month-ending,Number of Drug Overdose Deaths,4327,100,0.030094799,
FL,Florida,2016,September,12 month-ending,Number of Drug Overdose Deaths,4279,100,0.052631046,
OH,Ohio,2016,November,12 month-ending,Number of Drug Overdose Deaths,4211,100,0.021052277,
PA,Pennsylvania,2016,October,12 month-ending,Number of Drug Overdose Deaths,4159,100,0.289599312,
OH,Ohio,2016,October,12 month-ending,Number of Drug Overdose Deaths,4121,100,0.017721369,
FL,Florida,2016,August,12 month-ending,Number of Drug Overdose Deaths,4091,100,0.051697922,
PA,Pennsylvania,2016,September,12 month-ending,Number of Drug Overdose Deaths,4031,100,0.279686449,
OH,Ohio,2016,September,12 month-ending,Number of Drug Overdose Deaths,4000,100,0.02028209,
AZ,Arizona,2016,October,12 month-ending,Number of Deaths,57277,100,0.464409798,
AZ,Arizona,2016,November,12 month-ending,Number of Deaths,57252,100,0.520505834,
AZ,Arizona,2017,January,12 month-ending,Number of Deaths,57220,100,0.685075149,*Likely underreported due to incomplete data
AZ,Arizona,2016,December,12 month-ending,Number of Deaths,57216,100,0.618708054,
AZ,Arizona,2016,September,12 month-ending,Number of Deaths,57051,100,0.394383972,
AZ,Arizona,2016,August,12 month-ending,Number of Deaths,56960,100,0.372191011,
AZ,Arizona,2016,July,12 month-ending,Number of Deaths,56865,100,0.33236613,
AZ,Arizona,2016,June,12 month-ending,Number of Deaths,56648,100,0.261262534,
AZ,Arizona,2017,February,12 month-ending,Number of Deaths,56607,100,0.747257406,*Likely underreported due to incomplete data
AZ,Arizona,2016,May,12 month-ending,Number of Deaths,56522,100,0.201691377,
AZ,Arizona,2016,April,12 month-ending,Number of Deaths,56436,100,0.173648026,
AZ,Arizona,2016,March,12 month-ending,Number of Deaths,56319,100,0.154477175,
AZ,Arizona,2017,March,12 month-ending,Number of Deaths,56264,100,0.858453007,*Likely underreported due to incomplete data
AZ,Arizona,2016,February,12 month-ending,Number of Deaths,55755,100,0.139897767,
AZ,Arizona,2016,January,12 month-ending,Number of Deaths,54917,100,0.16024182,
AZ,Arizona,2015,December,12 month-ending,Number of Deaths,54853,100,0.196889869,
AZ,Arizona,2015,November,12 month-ending,Number of Deaths,54421,100,0.224178167,
AZ,Arizona,2015,October,12 month-ending,Number of Deaths,54122,100,0.249436458,
AZ,Arizona,2015,September,12 month-ending,Number of Deaths,54058,100,0.270080284,
AZ,Arizona,2015,August,12 month-ending,Number of Deaths,53907,100,0.293097371,
AZ,Arizona,2015,July,12 month-ending,Number of Deaths,53685,100,0.324112881,
AZ,Arizona,2015,June,12 month-ending,Number of Deaths,53462,100,0.334817253,
AZ,Arizona,2015,May,12 month-ending,Number of Deaths,53225,100,0.336308126,
AZ,Arizona,2015,April,12 month-ending,Number of Deaths,53025,100,0.341348421,
AZ,Arizona,2015,March,12 month-ending,Number of Deaths,52826,100,0.342634309,
AZ,Arizona,2015,February,12 month-ending,Number of Deaths,52371,100,0.349430028,
AZ,Arizona,2015,January,12 month-ending,Number of Deaths,52342,100,0.32669749,
FL,Florida,2016,July,12 month-ending,Number of Drug Overdose Deaths,3973,100,0.047272191,
PA,Pennsylvania,2016,August,12 month-ending,Number of Drug Overdose Deaths,3891,100,0.276508867,
OH,Ohio,2016,August,12 month-ending,Number of Drug Overdose Deaths,3857,100,0.022035953,
FL,Florida,2016,June,12 month-ending,Number of Drug Overdose Deaths,3843,100,0.045345004,
PA,Pennsylvania,2016,July,12 month-ending,Number of Drug Overdose Deaths,3797,100,0.264582446,
OH,Ohio,2016,July,12 month-ending,Number of Drug Overdose Deaths,3763,100,0.024610267,
FL,Florida,2016,May,12 month-ending,Number of Drug Overdose Deaths,3759,100,0.042336139,
FL,Florida,2016,April,12 month-ending,Number of Drug Overdose Deaths,3703,100,0.040840706,
PA,Pennsylvania,2016,June,12 month-ending,Number of Drug Overdose Deaths,3657,100,0.260476169,
OH,Ohio,2016,June,12 month-ending,Number of Drug Overdose Deaths,3652,100,0.024628868,
PA,Pennsylvania,2016,May,12 month-ending,Number of Drug Overdose Deaths,3632,100,0.268227262,
OH,Ohio,2016,May,12 month-ending,Number of Drug Overdose Deaths,3606,100,0.023806892,
PA,Pennsylvania,2016,April,12 month-ending,Number of Drug Overdose Deaths,3601,100,0.265987765,
FL,Florida,2016,March,12 month-ending,Number of Drug Overdose Deaths,3596,100,0.038931435,
OH,Ohio,2016,April,12 month-ending,Number of Drug Overdose Deaths,3575,100,0.025516713,
OH,Ohio,2016,March,12 month-ending,Number of Drug Overdose Deaths,3542,100,0.025542132,
PA,Pennsylvania,2016,March,12 month-ending,Number of Drug Overdose Deaths,3526,100,0.259150049,
OH,Ohio,2016,February,12 month-ending,Number of Drug Overdose Deaths,3452,100,0.024771716,
PA,Pennsylvania,2016,February,12 month-ending,Number of Drug Overdose Deaths,3414,100,0.264498136,
FL,Florida,2016,February,12 month-ending,Number of Drug Overdose Deaths,3401,100,0.038068585,
OH,Ohio,2016,January,12 month-ending,Number of Drug Overdose Deaths,3398,100,0.025634453,
FL,Florida,2015,December,12 month-ending,Number of Drug Overdose Deaths,3352,100,0.036541995,
FL,Florida,2015,October,12 month-ending,Number of Drug Overdose Deaths,3341,100,0.030163753,
FL,Florida,2015,November,12 month-ending,Number of Drug Overdose Deaths,3340,100,0.032768252,
OH,Ohio,2015,December,12 month-ending,Number of Drug Overdose Deaths,3336,100,0.026246053,
FL,Florida,2016,January,12 month-ending,Number of Drug Overdose Deaths,3324,100,0.037665755,
OH,Ohio,2015,November,12 month-ending,Number of Drug Overdose Deaths,3298,100,0.020958385,
AR,Arkansas,2017,March,12 month-ending,Number of Deaths,31268,100,0.079953947,*Likely underreported due to incomplete data
AR,Arkansas,2017,February,12 month-ending,Number of Deaths,31137,100,0.086713556,*Likely underreported due to incomplete data
AR,Arkansas,2017,January,12 month-ending,Number of Deaths,31108,100,0.077150572,*Likely underreported due to incomplete data
AR,Arkansas,2016,December,12 month-ending,Number of Deaths,31030,100,0.07089913,
AR,Arkansas,2015,October,12 month-ending,Number of Deaths,31015,100,0.058036434,
AR,Arkansas,2015,November,12 month-ending,Number of Deaths,31007,100,0.061276486,
AR,Arkansas,2015,December,12 month-ending,Number of Deaths,30986,100,0.070999806,
AR,Arkansas,2015,September,12 month-ending,Number of Deaths,30931,100,0.061427047,
AR,Arkansas,2015,August,12 month-ending,Number of Deaths,30884,100,0.048568838,
AR,Arkansas,2015,June,12 month-ending,Number of Deaths,30722,100,0.042314954,
AR,Arkansas,2016,November,12 month-ending,Number of Deaths,30699,100,0.074921007,
AR,Arkansas,2015,July,12 month-ending,Number of Deaths,30685,100,0.04888382,
AR,Arkansas,2016,January,12 month-ending,Number of Deaths,30624,100,0.071839081,
AR,Arkansas,2015,May,12 month-ending,Number of Deaths,30602,100,0.042480884,
AR,Arkansas,2016,July,12 month-ending,Number of Deaths,30591,100,0.075185512,
AR,Arkansas,2016,September,12 month-ending,Number of Deaths,30541,100,0.068760028,
AR,Arkansas,2016,October,12 month-ending,Number of Deaths,30491,100,0.075432095,
AR,Arkansas,2016,April,12 month-ending,Number of Deaths,30489,100,0.078716914,
AR,Arkansas,2016,August,12 month-ending,Number of Deaths,30489,100,0.078716914,
AR,Arkansas,2015,April,12 month-ending,Number of Deaths,30444,100,0.039416634,
AR,Arkansas,2016,June,12 month-ending,Number of Deaths,30435,100,0.07885658,
AR,Arkansas,2016,March,12 month-ending,Number of Deaths,30421,100,0.075605667,
AR,Arkansas,2016,February,12 month-ending,Number of Deaths,30413,100,0.072337487,
AR,Arkansas,2015,March,12 month-ending,Number of Deaths,30387,100,0.046072334,
AR,Arkansas,2016,May,12 month-ending,Number of Deaths,30361,100,0.07904878,
AR,Arkansas,2015,February,12 month-ending,Number of Deaths,30332,100,0.046155875,
AR,Arkansas,2015,January,12 month-ending,Number of Deaths,30122,100,0.04979749,
FL,Florida,2015,September,12 month-ending,Number of Drug Overdose Deaths,3270,100,0.027678539,
PA,Pennsylvania,2016,January,12 month-ending,Number of Drug Overdose Deaths,3269,100,0.265961466,
PA,Pennsylvania,2015,December,12 month-ending,Number of Drug Overdose Deaths,3263,100,0.275173105,
PA,Pennsylvania,2015,November,12 month-ending,Number of Drug Overdose Deaths,3250,100,0.288935556,
OH,Ohio,2015,October,12 month-ending,Number of Drug Overdose Deaths,3222,100,0.017595898,
FL,Florida,2015,August,12 month-ending,Number of Drug Overdose Deaths,3204,100,0.02881192,
PA,Pennsylvania,2015,October,12 month-ending,Number of Drug Overdose Deaths,3203,100,0.282322174,
OH,Ohio,2015,September,12 month-ending,Number of Drug Overdose Deaths,3196,100,0.010083102,
OH,Ohio,2015,August,12 month-ending,Number of Drug Overdose Deaths,3153,100,0.008411278,
PA,Pennsylvania,2015,September,12 month-ending,Number of Drug Overdose Deaths,3131,100,0.281937408,
OH,Ohio,2015,July,12 month-ending,Number of Drug Overdose Deaths,3128,100,0.005902541,
FL,Florida,2015,July,12 month-ending,Number of Drug Overdose Deaths,3117,100,0.031463572,
PA,Pennsylvania,2015,August,12 month-ending,Number of Drug Overdose Deaths,3075,100,0.273411309,
OH,Ohio,2015,May,12 month-ending,Number of Drug Overdose Deaths,3054,100,0.006779948,
OH,Ohio,2015,June,12 month-ending,Number of Drug Overdose Deaths,3051,100,0.005918661,
PA,Pennsylvania,2015,July,12 month-ending,Number of Drug Overdose Deaths,3012,100,0.268616624,
FL,Florida,2015,June,12 month-ending,Number of Drug Overdose Deaths,2983,100,0.031542968,
PA,Pennsylvania,2015,June,12 month-ending,Number of Drug Overdose Deaths,2964,100,0.275206778,
FL,Florida,2015,May,12 month-ending,Number of Drug Overdose Deaths,2958,100,0.033149114,
OH,Ohio,2015,April,12 month-ending,Number of Drug Overdose Deaths,2955,100,0.00510382,
FL,Florida,2015,April,12 month-ending,Number of Drug Overdose Deaths,2886,100,0.032246656,
PA,Pennsylvania,2015,May,12 month-ending,Number of Drug Overdose Deaths,2878,100,0.274589981,
FL,Florida,2015,March,12 month-ending,Number of Drug Overdose Deaths,2862,100,0.033377663,
PA,Pennsylvania,2015,April,12 month-ending,Number of Drug Overdose Deaths,2862,100,0.282827378,
TX,Texas,2016,December,12 month-ending,Number of Drug Overdose Deaths,2844,100,0.09597323,
OH,Ohio,2015,March,12 month-ending,Number of Drug Overdose Deaths,2843,100,0.005986744,
CA,California,2017,January,12 month-ending,Number of Drug Overdose Deaths,4736,100,0.410419917,*Likely underreported due to incomplete data
CA,California,2017,January,12 month-ending,Number of Deaths,265338,100,0.410419917,*Likely underreported due to incomplete data
CA,California,2017,February,12 month-ending,Number of Deaths,264875,100,0.464747522,*Likely underreported due to incomplete data
CA,California,2017,March,12 month-ending,Number of Deaths,264728,100,0.537532864,*Likely underreported due to incomplete data
CA,California,2016,December,12 month-ending,Number of Deaths,263209,100,0.363969317,
CA,California,2016,October,12 month-ending,Number of Deaths,262754,100,0.417120196,
CA,California,2016,November,12 month-ending,Number of Deaths,262364,100,0.392965498,
CA,California,2016,September,12 month-ending,Number of Deaths,262043,100,0.419778433,
CA,California,2016,August,12 month-ending,Number of Deaths,261783,100,0.420195353,
CA,California,2016,July,12 month-ending,Number of Deaths,261604,100,0.410161924,
CA,California,2016,April,12 month-ending,Number of Deaths,261595,100,0.37768306,
CA,California,2016,May,12 month-ending,Number of Deaths,261557,100,0.391883987,
CA,California,2016,June,12 month-ending,Number of Deaths,261467,100,0.396990825,
CA,California,2016,March,12 month-ending,Number of Deaths,261416,100,0.371438627,
CA,California,2016,February,12 month-ending,Number of Deaths,260507,100,0.363905768,
CA,California,2015,December,12 month-ending,Number of Deaths,260172,100,0.355918392,
CA,California,2016,January,12 month-ending,Number of Deaths,259302,100,0.359812111,
CA,California,2015,November,12 month-ending,Number of Deaths,258808,100,0.308336682,
CA,California,2015,October,12 month-ending,Number of Deaths,257750,100,0.278952473,
CA,California,2015,September,12 month-ending,Number of Deaths,257163,100,0.255868846,
CA,California,2015,August,12 month-ending,Number of Deaths,256464,100,0.233950964,
CA,California,2015,July,12 month-ending,Number of Deaths,255417,100,0.224339022,
CA,California,2015,June,12 month-ending,Number of Deaths,254838,100,0.219747447,
CA,California,2015,May,12 month-ending,Number of Deaths,253858,100,0.217444398,
CA,California,2015,April,12 month-ending,Number of Deaths,252831,100,0.22267839,
CA,California,2015,March,12 month-ending,Number of Deaths,251540,100,0.224616363,
CA,California,2015,February,12 month-ending,Number of Deaths,249920,100,0.23087388,
CA,California,2015,January,12 month-ending,Number of Deaths,248191,100,0.238123059,
TX,Texas,2017,February,12 month-ending,Number of Drug Overdose Deaths,2839,100,0.107154338,*Likely underreported due to incomplete data
PA,Pennsylvania,2015,March,12 month-ending,Number of Drug Overdose Deaths,2836,100,0.275391385,
TX,Texas,2017,March,12 month-ending,Number of Drug Overdose Deaths,2835,100,0.122558991,*Likely underreported due to incomplete data
OH,Ohio,2015,January,12 month-ending,Number of Drug Overdose Deaths,2829,100,0.006037866,
OH,Ohio,2015,February,12 month-ending,Number of Drug Overdose Deaths,2828,100,0.006006212,
FL,Florida,2015,February,12 month-ending,Number of Drug Overdose Deaths,2824,100,0.034104444,
PA,Pennsylvania,2015,February,12 month-ending,Number of Drug Overdose Deaths,2815,100,0.27134383,
TX,Texas,2016,November,12 month-ending,Number of Drug Overdose Deaths,2797,100,0.116252154,
PA,Pennsylvania,2015,January,12 month-ending,Number of Drug Overdose Deaths,2788,100,0.262862005,
TX,Texas,2016,September,12 month-ending,Number of Drug Overdose Deaths,2780,100,0.133396067,
TX,Texas,2016,October,12 month-ending,Number of Drug Overdose Deaths,2768,100,0.129928385,
TX,Texas,2016,August,12 month-ending,Number of Drug Overdose Deaths,2756,100,0.142648173,
FL,Florida,2015,January,12 month-ending,Number of Drug Overdose Deaths,2755,100,0.034889253,
TX,Texas,2016,July,12 month-ending,Number of Drug Overdose Deaths,2744,100,0.143580246,
TX,Texas,2016,June,12 month-ending,Number of Drug Overdose Deaths,2736,100,0.15478908,
TX,Texas,2016,May,12 month-ending,Number of Drug Overdose Deaths,2705,100,0.155735563,
TX,Texas,2016,April,12 month-ending,Number of Drug Overdose Deaths,2692,100,0.158437172,
TX,Texas,2016,March,12 month-ending,Number of Drug Overdose Deaths,2647,100,0.15503876,
TX,Texas,2016,February,12 month-ending,Number of Drug Overdose Deaths,2646,100,0.159578086,
TX,Texas,2015,October,12 month-ending,Number of Drug Overdose Deaths,2625,100,0.174192545,
TX,Texas,2015,September,12 month-ending,Number of Drug Overdose Deaths,2615,100,0.177129975,
TX,Texas,2016,January,12 month-ending,Number of Drug Overdose Deaths,2593,100,0.16584009,
TX,Texas,2015,November,12 month-ending,Number of Drug Overdose Deaths,2591,100,0.171290649,
TX,Texas,2015,August,12 month-ending,Number of Drug Overdose Deaths,2590,100,0.173749291,
TX,Texas,2015,December,12 month-ending,Number of Drug Overdose Deaths,2579,100,0.177733431,
TX,Texas,2015,January,12 month-ending,Number of Drug Overdose Deaths,2577,100,0.183968603,
TX,Texas,2015,July,12 month-ending,Number of Drug Overdose Deaths,2564,100,0.173163786,
CO,Colorado,2017,March,12 month-ending,Number of Deaths,38364,100,0.044312376,*Likely underreported due to incomplete data
CO,Colorado,2017,February,12 month-ending,Number of Deaths,38358,100,0.046926326,*Likely underreported due to incomplete data
CO,Colorado,2017,January,12 month-ending,Number of Deaths,38237,100,0.041844287,*Likely underreported due to incomplete data
CO,Colorado,2016,December,12 month-ending,Number of Deaths,38152,100,0.034074229,
CO,Colorado,2016,November,12 month-ending,Number of Deaths,38076,100,0.028889589,
CO,Colorado,2016,October,12 month-ending,Number of Deaths,38048,100,0.02628259,
CO,Colorado,2016,September,12 month-ending,Number of Deaths,37834,100,0.034360628,
CO,Colorado,2016,August,12 month-ending,Number of Deaths,37650,100,0.029216468,
CO,Colorado,2016,July,12 month-ending,Number of Deaths,37620,100,0.026581606,
CO,Colorado,2016,May,12 month-ending,Number of Deaths,37535,100,0.042626882,
CO,Colorado,2016,June,12 month-ending,Number of Deaths,37504,100,0.037329352,
CO,Colorado,2016,March,12 month-ending,Number of Deaths,37387,100,0.045470351,
CO,Colorado,2016,April,12 month-ending,Number of Deaths,37351,100,0.042836872,
CO,Colorado,2015,October,12 month-ending,Number of Deaths,37144,100,0.045767823,
CO,Colorado,2015,November,12 month-ending,Number of Deaths,37144,100,0.040383373,
CO,Colorado,2015,August,12 month-ending,Number of Deaths,37125,100,0.037710438,
CO,Colorado,2015,September,12 month-ending,Number of Deaths,37101,100,0.043125522,
CO,Colorado,2015,December,12 month-ending,Number of Deaths,36993,100,0.040548212,
CO,Colorado,2016,February,12 month-ending,Number of Deaths,36987,100,0.04055479,
